name,lat,log
antrim_dungonnell-filters-no-2_2013.csv,54.989,-6.144
antrim_garron-tower-st-macnissis_2005.csv,55.042,-5.968
antrim_garron-tower-st-macnissis_2006.csv,55.042,-5.968
antrim_garron-tower-st-macnissis_2007.csv,55.042,-5.968
antrim_giants-causeway_2011.csv,55.234,-6.512
antrim_giants-causeway_2012.csv,55.234,-6.512
antrim_giants-causeway_2013.csv,55.234,-6.512
antrim_giants-causeway_2014.csv,55.234,-6.512
antrim_killylane_2005.csv,54.817,-6.005
antrim_killylane_2006.csv,54.817,-6.005
antrim_killylane_2007.csv,54.817,-6.005
antrim_killylane_2009.csv,54.817,-6.005
antrim_killylane_2011.csv,54.817,-6.005
antrim_killylane_2012.csv,54.817,-6.005
antrim_killylane_2013.csv,54.817,-6.005
antrim_killylane_2014.csv,54.817,-6.005
antrim_lisnafillan_2005.csv,54.857,-6.326
antrim_movanagher-fish-farm_2005.csv,54.986,-6.57
antrim_movanagher-fish-farm_2006.csv,54.986,-6.57
antrim_movanagher-fish-farm_2007.csv,54.986,-6.57
antrim_movanagher-fish-farm_2009.csv,54.986,-6.57
antrim_movanagher-fish-farm_2010.csv,54.986,-6.57
antrim_movanagher-fish-farm_2011.csv,54.986,-6.57
antrim_movanagher-fish-farm_2012.csv,54.986,-6.57
antrim_movanagher-fish-farm_2013.csv,54.986,-6.57
antrim_oldpark-filters_2005.csv,54.627,-5.949
antrim_oldpark-filters_2006.csv,54.627,-5.949
antrim_oldpark-filters_2007.csv,54.627,-5.949
antrim_portglenone_2005.csv,54.865,-6.458
antrim_portglenone_2006.csv,54.865,-6.458
antrim_portglenone_2007.csv,54.865,-6.458
antrim_portglenone_2009.csv,54.865,-6.458
antrim_portglenone_2010.csv,54.865,-6.458
antrim_portglenone_2011.csv,54.865,-6.458
antrim_portglenone_2012.csv,54.865,-6.458
antrim_portglenone_2013.csv,54.865,-6.458
antrim_portglenone_2014.csv,54.865,-6.458
argyll-in-highland-region_ardtornish-gardens_2005.csv,56.561,-5.741
argyll-in-highland-region_ardtornish-gardens_2006.csv,56.561,-5.741
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2005.csv,56.028,-4.985
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2006.csv,56.028,-4.985
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2007.csv,56.028,-4.985
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2009.csv,56.028,-4.985
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2010.csv,56.028,-4.985
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2011.csv,56.028,-4.985
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2012.csv,56.028,-4.985
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2013.csv,56.028,-4.985
argyll-in-strathclyde-region_benmore-younger-botanic-garden_2014.csv,56.028,-4.985
argyll-in-strathclyde-region_black-mount_2005.csv,56.545,-4.796
argyll-in-strathclyde-region_black-mount_2006.csv,56.545,-4.796
argyll-in-strathclyde-region_colonsay-homefield_2005.csv,56.074,-6.24
argyll-in-strathclyde-region_colonsay-homefield_2006.csv,56.074,-6.24
argyll-in-strathclyde-region_colonsay-homefield_2007.csv,56.074,-6.24
argyll-in-strathclyde-region_colonsay-homefield_2009.csv,56.074,-6.24
argyll-in-strathclyde-region_colonsay-homefield_2010.csv,56.074,-6.24
argyll-in-strathclyde-region_colonsay-homefield_2011.csv,56.074,-6.24
argyll-in-strathclyde-region_colonsay-homefield_2012.csv,56.074,-6.24
argyll-in-strathclyde-region_colonsay-homefield_2013.csv,56.074,-6.24
argyll-in-strathclyde-region_colonsay-homefield_2014.csv,56.074,-6.24
argyll-in-strathclyde-region_dalmally-stronmilchan_2005.csv,56.41,-4.999
argyll-in-strathclyde-region_dalmally-stronmilchan_2006.csv,56.41,-4.999
argyll-in-strathclyde-region_dalmally-stronmilchan_2007.csv,56.41,-4.999
argyll-in-strathclyde-region_dalmally-stronmilchan_2009.csv,56.41,-4.999
argyll-in-strathclyde-region_dunstaffnage_2005.csv,56.45,-5.44
argyll-in-strathclyde-region_dunstaffnage_2006.csv,56.45,-5.44
argyll-in-strathclyde-region_dunstaffnage_2007.csv,56.45,-5.44
argyll-in-strathclyde-region_dunstaffnage_2009.csv,56.45,-5.44
argyll-in-strathclyde-region_dunstaffnage_2010.csv,56.45,-5.44
argyll-in-strathclyde-region_dunstaffnage_2011.csv,56.45,-5.44
argyll-in-strathclyde-region_dunstaffnage_2012.csv,56.45,-5.44
argyll-in-strathclyde-region_dunstaffnage_2013.csv,56.45,-5.44
argyll-in-strathclyde-region_dunstaffnage_2014.csv,56.45,-5.44
argyll-in-strathclyde-region_inverinan-beg_2005.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-beg_2006.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-beg_2007.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-beg_2009.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-beg_2010.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-beg_2011.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-beg_2012.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-beg_2013.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-beg_2014.csv,56.308,-5.239
argyll-in-strathclyde-region_inverinan-mor_2005.csv,56.306,-5.244
argyll-in-strathclyde-region_islay-port-ellen_2005.csv,55.681,-6.25
argyll-in-strathclyde-region_islay-port-ellen_2006.csv,55.681,-6.25
argyll-in-strathclyde-region_islay-port-ellen_2007.csv,55.681,-6.25
argyll-in-strathclyde-region_islay-port-ellen_2009.csv,55.681,-6.25
argyll-in-strathclyde-region_islay-port-ellen_2010.csv,55.681,-6.25
argyll-in-strathclyde-region_islay-port-ellen_2011.csv,55.681,-6.25
argyll-in-strathclyde-region_islay-port-ellen_2012.csv,55.681,-6.25
argyll-in-strathclyde-region_islay-port-ellen_2013.csv,55.681,-6.25
argyll-in-strathclyde-region_islay-port-ellen_2014.csv,55.681,-6.25
argyll-in-strathclyde-region_lochgilphead_2005.csv,56.034,-5.428
argyll-in-strathclyde-region_lochgilphead_2006.csv,56.034,-5.428
